EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
282,41,17,No,$43.89 ,30,Salary,70498.98,14.0,Sales,Male,Married,4.0,37.0,Direct_Deposit,No
256,24,10,Yes,$36.90 ,20,Salary,38677.67,42.0,InformationTechnology,Male,Married,7.0,32.0,Mail_Check,No
174,52,9,Yes,$57.02 ,40,Hourly,114193.1,8.0,Marketing,Female,Divorced,6.0,18.0,Direct Deposit,Yes
273,25,5,No,$63.90 ,30,Salary,100988.98,52.0,HumanResources,Male,Single,1.0,14.0,DirectDeposit,Yes
283,50,2,Yes,$61.58 ,20,Salary,62510.67,34.0,Information_Technology,Female,Married,0.0,15.0,MailedCheck,No
207,54,11,No,$48.73 ,30,Hourly,72930.98,7.0,Information_Technology,Male,Married,3.0,15.0,Mailed Check,Yes
175,51,13,Yes,$12.25 ,40,Hourly,26195.58,26.0,Information Technology,Male,Divorced,6.0,24.0,Direct Deposit,No
58,25,18,No,$27.84 ,40,Hourly,57895.22,55.0,Laboratory,Male,Divorced,5.0,4.0,MailedCheck,No
123,49,16,Yes,$13.90 ,40,Salary,29808.1,45.0,HumanResources,Male,Divorced,4.0,36.0,Direct_Deposit,No
221,24,7,No,$14.68 ,40,Hourly,29082.34,8.0,Laboratory,Female,Married,,12.0,Mail Check,Yes
103,56,6,No,$20.24 ,30,Hourly,32135.5,15.0,Research,Male,Single,4.0,33.0,Mail Check,Yes
67,61,9,No,$54.79 ,40,Salary,109189.9,35.0,Manufacturing,Male,Divorced,3.0,28.0,Mail Check,Yes
195,64,6,No,$13.58 ,40,Hourly,28749.11,53.0,Marketing,Female,Divorced,5.0,36.0,Direct_Deposit,No
180,42,2,No,$57.34 ,40,Salary,119594.68,27.0,Manufacturing,Female,Single,4.0,7.0,MailedCheck,Yes
102,27,16,No,$29.09 ,40,Salary,58329.28,14.0,Healthcare,Female,Divorced,5.0,16.0,Mail_Check,Yes
19,58,19,Yes,$18.57 ,40,Hourly,37290.79,26.0,Research,Female,Divorced,4.0,34.0,Mailed Check,Yes
82,38,19,No,$22.70 ,40,Salary,46339.43,2.0,Information_Technology,Female,Divorced,7.0,30.0,Mail Check,Yes
278,55,10,No,$28.91 ,40,Hourly,59816.46,15.0,Laboratory,Male,Divorced,0.0,10.0,MailedCheck,Yes
236,52,3,Yes,$42.05 ,40,Hourly,89616.21,43.0,Marketing,Female,Married,1.0,2.0,Direct Deposit,Yes
56,20,20,No,$30.45 ,40,Hourly,65002.72,29.0,Marketing,Male,Single,5.0,34.0,Mail Check,Yes
165,38,0,No,$60.70 ,40,Salary,131525.87,25.0,Manufacturing,Female,Single,7.0,33.0,Mail Check,No
178,25,0,No,$20.63 ,40,Hourly,-1500.0,51.0,Human Resources,Male,Married,0.0,32.0,DirectDeposit,Yes
223,51,4,Yes,$27.62 ,40,Salary,58667.06,33.0,Marketing,Female,Divorced,5.0,,Mail_Check,No
148,29,20,No,$34.86 ,40,Salary,74655.5,59.0,InformationTechnology,Male,Single,4.0,37.0,Mail Check,No
235,41,12,Yes,$50.47 ,40,Salary,108826.17,9.0,Marketing,Female,Divorced,0.0,24.0,Direct_Deposit,No
194,35,12,No,$16.14 ,30,Salary,25773.93,39.0,Human_Resources,Male,Divorced,4.0,29.0,Direct Deposit,Yes
23,26,12,No,$64.23 ,40,Hourly,138712.89,20.0,Human_Resources,Female,Married,7.0,24.0,Mail Check,No
91,38,15,No,$27.08 ,40,Salary,54609.49,24.0,Manufacturing,Male,Divorced,6.0,29.0,Mailed Check,No
129,45,0,Yes,$36.12 ,40,Salary,72841.87,21.0,Laboratory,Male,Divorced,1.0,3.0,Mail Check,Yes
228,45,3,No,$24.26 ,40,Salary,52303.12,33.0,Information_Technology,Male,Divorced,0.0,9.0,Mail Check,No
126,45,4,No,$14.18 ,40,Hourly,30223.14,59.0,Information_Technology,Male,Married,0.0,19.0,Mail Check,No
151,59,20,Yes,$25.80 ,40,Hourly,52408.43,35.0,Information Technology,Female,Married,2.0,5.0,Direct Deposit,Yes
92,56,3,Yes,$59.54 ,40,Hourly,118368.65,37.0,Manufacturing,Female,Single,4.0,36.0,Direct_Deposit,Yes
296,42,16,Yes,$58.69 ,30,Hourly,89679.67,55.0,Human_Resources,Female,Single,1.0,1.0,Mail Check,Yes
281,31,1,No,$33.68 ,40,Salary,67740.6,52.0,Human Resources,Male,Divorced,2.0,6.0,Mail_Check,No
146,58,13,No,$37.94 ,40,Hourly,78629.75,59.0,Research,Female,Married,5.0,9.0,DirectDeposit,Yes
128,54,16,No,$15.47 ,40,Salary,31176.35,32.0,Human_Resources,Male,Single,4.0,30.0,MailedCheck,No
237,49,9,No,$52.20 ,40,Salary,112763.83,12.0,Marketing,Female,Single,7.0,29.0,Mail_Check,Yes
240,48,0,No,$39.27 ,40,Hourly,83962.72,57.0,HumanResources,Male,Married,1.0,18.0,DirectDeposit,Yes
25,55,20,No,$63.83 ,30,Salary,101647.52,50.0,Human Resources,Female,Divorced,3.0,4.0,MailedCheck,Yes
115,42,0,Yes,$53.74 ,40,Salary,115525.21,43.0,Information Technology,Female,Married,6.0,32.0,Mailed Check,No
288,45,2,No,$18.95 ,40,Salary,40149.33,11.0,InformationTechnology,Male,Single,1.0,39.0,Mail_Check,No
63,35,4,Yes,$21.94 ,30,Salary,35560.47,58.0,Human Resources,Male,Single,7.0,11.0,Direct Deposit,Yes
268,34,5,Yes,$54.30 ,40,Salary,108133.24,48.0,InformationTechnology,Female,Single,0.0,23.0,Direct_Deposit,No
79,45,7,No,$19.12 ,40,Hourly,41737.5,32.0,HumanResources,Female,Single,5.0,3.0,Mail Check,No
105,56,10,No,$27.01 ,40,Hourly,54693.45,56.0,Manufacturing,Female,Single,1.0,20.0,Mailed Check,Yes
51,54,11,No,$33.27 ,40,Salary,66647.3,8.0,Sales,Male,Single,7.0,6.0,Mail_Check,No
264,62,3,No,$42.21 ,30,Salary,63147.86,37.0,InformationTechnology,Female,Single,5.0,34.0,Mailed Check,Yes
119,29,6,Yes,$46.60 ,20,Hourly,50858.5,41.0,InformationTechnology,Female,Married,6.0,2.0,Mailed Check,Yes
53,35,6,No,$47.60 ,30,Salary,72792.89,25.0,Laboratory,Female,Single,0.0,10.0,Direct_Deposit,Yes
62,53,18,Yes,$58.99 ,40,Salary,124092.04,28.0,Healthcare,Male,Married,6.0,1.0,Mail Check,Yes
249,55,10,No,$19.92 ,40,Hourly,41334.71,44.0,Healthcare,Female,Divorced,2.0,12.0,DirectDeposit,No
210,55,4,Yes,$64.56 ,30,Hourly,98538.7,36.0,Information Technology,Male,Married,2.0,18.0,Mail Check,No
29,44,2,No,$41.44 ,40,Hourly,83156.18,50.0,Human Resources,Male,Married,7.0,27.0,Mail Check,Yes
70,40,16,No,$33.62 ,30,Salary,52417.38,13.0,Human Resources,Female,Single,5.0,0.0,Mail_Check,No
37,59,20,Yes,$47.79 ,40,Salary,102208.47,32.0,HumanResources,Female,Single,1.0,18.0,MailedCheck,Yes
41,25,13,Yes,$51.19 ,30,Hourly,82416.25,43.0,HumanResources,Male,Married,6.0,15.0,Mailed Check,No
270,46,11,No,$22.83 ,20,Salary,24520.21,42.0,Laboratory,Female,Single,7.0,11.0,Direct Deposit,Yes
12,64,14,No,$46.67 ,40,Hourly,94147.64,41.0,Marketing,Female,Married,1.0,27.0,Mailed Check,No
247,54,9,No,$32.94 ,40,Hourly,70186.93,46.0,Sales,Male,Divorced,6.0,19.0,DirectDeposit,Yes
274,64,1,No,$31.99 ,40,Salary,69082.16,29.0,Sales,Male,Divorced,6.0,9.0,Direct Deposit,Yes
189,29,16,No,$54.36 ,40,Hourly,114003.25,58.0,Marketing,Male,Single,7.0,,Direct_Deposit,No
161,65,15,No,$49.71 ,40,Hourly,99901.38,11.0,Information_Technology,Male,Divorced,3.0,39.0,Mailed Check,No
112,55,4,No,$47.75 ,40,Hourly,102059.16,59.0,Healthcare,Female,Single,4.0,5.0,Direct_Deposit,No
99,48,5,No,$46.63 ,40,Hourly,100016.39,18.0,Laboratory,Male,Divorced,6.0,22.0,DirectDeposit,No
203,41,20,No,$59.17 ,40,Hourly,121252.73,48.0,InformationTechnology,Male,Married,5.0,7.0,Mail Check,Yes
47,39,20,No,$12.24 ,40,Hourly,24799.62,38.0,Research,Male,Married,6.0,19.0,Direct Deposit,Yes
140,38,8,No,$34.08 ,30,Salary,54386.61,-12.0,Sales,Female,Divorced,2.0,36.0,DirectDeposit,No
260,46,17,No,$39.40 ,40,Salary,85409.53,26.0,Research,Female,Divorced,5.0,13.0,Direct_Deposit,No
133,22,17,No,$17.91 ,40,Salary,37782.73,24.0,Information Technology,Female,Single,7.0,11.0,Mailed Check,No
177,52,17,No,$44.81 ,40,Hourly,95333.36,32.0,Marketing,Male,Married,4.0,9.0,Direct Deposit,No
109,40,19,Yes,$35.23 ,40,Salary,72765.14,30.0,InformationTechnology,Female,Divorced,6.0,19.0,Mailed Check,Yes
186,39,4,No,$31.16 ,40,Salary,63116.9,33.0,Human Resources,Female,Divorced,0.0,22.0,Direct_Deposit,No
155,38,12,Yes,$48.21 ,30,Hourly,78545.3,3.0,Research,Male,Single,3.0,,Mailed Check,Yes
295,44,6,Yes,$51.94 ,40,Salary,112462.45,36.0,HumanResources,Male,Married,3.0,21.0,Direct Deposit,Yes
16,55,13,No,$50.89 ,40,Salary,103444.0,27.0,Research,Female,Divorced,2.0,10.0,Mail_Check,Yes
114,40,2,No,$59.84 ,40,Salary,122952.66,14.0,Human_Resources,Male,Married,4.0,24.0,DirectDeposit,No
8,51,11,No,$18.05 ,30,Salary,28044.55,41.0,Marketing,Female,Married,7.0,38.0,Direct_Deposit,Yes
269,47,13,No,$17.29 ,40,Hourly,34641.7,14.0,HumanResources,Female,Single,0.0,26.0,Direct_Deposit,Yes
156,49,11,Yes,$24.10 ,40,Salary,49636.99,19.0,Sales,Female,Single,1.0,13.0,Mailed Check,No
213,55,17,Yes,$64.63 ,40,Hourly,140882.77,40.0,Information_Technology,Male,Divorced,4.0,8.0,Direct Deposit,No
169,34,3,Yes,$17.86 ,20,Salary,17739.55,48.0,Laboratory,Female,Divorced,0.0,27.0,MailedCheck,No
208,64,5,No,$21.17 ,40,Salary,43647.76,10.0,Healthcare,Male,Married,6.0,29.0,Direct Deposit,No
90,57,3,No,$40.67 ,40,Salary,81800.32,10.0,Human_Resources,Male,Single,3.0,11.0,MailedCheck,No
217,21,18,No,$58.66 ,30,Salary,90016.68,27.0,Research,Male,Divorced,0.0,21.0,Direct_Deposit,Yes
98,50,4,Yes,$43.31 ,20,Salary,43580.6,25.0,Healthcare,Female,Single,4.0,37.0,Mailed Check,No
285,39,8,No,$22.43 ,30,Hourly,34103.27,10.0,Research,Male,Divorced,4.0,2.0,Mailed Check,Yes
9,27,6,Yes,$50.82 ,30,Salary,77023.67,37.0,InformationTechnology,Male,Single,3.0,13.0,Mailed Check,No
28,57,0,No,$16.50 ,40,Salary,34245.89,14.0,Information_Technology,Female,Single,4.0,20.0,Mail Check,Yes
272,19,8,No,$13.23 ,40,Salary,28273.55,7.0,Information Technology,Female,Divorced,4.0,29.0,Direct Deposit,Yes
59,53,1,No,$43.29 ,40,Salary,91330.8,20.0,Information_Technology,Female,Divorced,2.0,5.0,Mailed Check,No
200,64,8,No,$49.53 ,30,Salary,78980.86,4.0,Sales,Female,Single,3.0,33.0,Direct_Deposit,No
172,22,16,No,$42.17 ,40,Hourly,88756.66,20.0,Manufacturing,Male,Divorced,3.0,17.0,Direct Deposit,Yes
231,40,12,No,$44.37 ,40,Hourly,96397.86,53.0,Research,Female,Divorced,2.0,22.0,Mailed Check,No
32,28,7,Yes,$55.60 ,40,Salary,111337.52,33.0,Research,Female,Single,0.0,15.0,Mail_Check,Yes
2,55,17,Yes,$52.36 ,30,Salary,85443.75,37.0,Marketing,Female,Married,4.0,21.0,Direct Deposit,Yes
164,37,8,No,$19.32 ,40,Salary,39023.97,38.0,HumanResources,Female,Married,1.0,19.0,Mail Check,Yes
14,54,5,No,$64.18 ,40,Salary,136795.31,5.0,HumanResources,Female,Divorced,4.0,1.0,DirectDeposit,No
10,22,2,Yes,$35.32 ,30,Salary,56450.25,40.0,Healthcare,Female,Divorced,6.0,11.0,Direct Deposit,No
286,63,19,No,$31.99 ,40,Salary,68815.31,25.0,HumanResources,Male,Married,2.0,35.0,Mailed Check,Yes
96,31,18,No,$40.07 ,40,Salary,84856.9,38.0,Sales,Female,Single,3.0,16.0,Mail_Check,Yes
35,60,9,Yes,$14.58 ,40,Salary,29022.16,57.0,InformationTechnology,Male,Single,7.0,29.0,Mailed Check,No
97,29,0,No,$51.34 ,40,Salary,103497.31,19.0,Research,Male,Divorced,,37.0,Direct_Deposit,No
299,31,13,No,$21.85 ,30,Salary,34271.04,18.0,Marketing,Male,Married,7.0,37.0,Direct_Deposit,No
287,25,14,Yes,$32.89 ,40,Hourly,67249.59,5.0,Information Technology,Female,Married,6.0,9.0,Direct_Deposit,No
222,39,3,No,$43.51 ,30,Salary,65976.15,1.0,Marketing,Female,Divorced,,33.0,Mail Check,No
238,38,2,Yes,$64.12 ,40,Salary,129580.9,36.0,Information Technology,Female,Married,4.0,22.0,Mailed Check,No
289,44,17,Yes,$20.63 ,30,Hourly,33329.83,9.0,Research,Female,Single,1.0,19.0,Direct_Deposit,No
46,64,5,No,$57.48 ,30,Salary,88700.92,32.0,Laboratory,Male,Divorced,6.0,30.0,MailedCheck,Yes
211,30,20,Yes,$12.21 ,30,Hourly,19595.78,14.0,Research,Male,Single,6.0,36.0,Mail_Check,Yes
33,22,6,No,$13.96 ,40,Salary,29182.68,3.0,Laboratory,Female,Divorced,,19.0,MailedCheck,No
78,28,15,No,$38.34 ,40,Salary,82521.1,46.0,Marketing,Female,Single,3.0,18.0,Direct Deposit,Yes
232,59,3,No,$41.34 ,40,Hourly,82125.35,12.0,Marketing,Male,Divorced,6.0,32.0,Mailed Check,No
134,44,2,No,$32.38 ,40,Hourly,68632.76,56.0,Information Technology,Female,Single,6.0,7.0,Mailed Check,Yes
145,65,10,Yes,$38.93 ,20,Hourly,39213.37,15.0,Sales,Male,Single,0.0,14.0,Mail_Check,No
157,24,3,No,$29.53 ,40,Salary,59731.38,38.0,Healthcare,Female,Single,1.0,2.0,Mail Check,Yes
64,64,18,Yes,$16.50 ,30,Hourly,26791.76,57.0,Sales,Female,Single,5.0,33.0,MailedCheck,Yes
83,25,19,No,$12.94 ,40,Salary,26650.52,13.0,Laboratory,Male,Single,3.0,25.0,MailedCheck,No
233,18,3,No,$33.00 ,20,Salary,35176.99,48.0,Laboratory,Female,Divorced,2.0,15.0,Mailed Check,Yes
267,39,4,No,$57.88 ,40,Salary,126287.4,31.0,Human_Resources,Female,Married,4.0,3.0,Mail_Check,No
243,22,4,No,$39.57 ,40,Salary,78414.04,34.0,Information_Technology,Female,Married,3.0,22.0,Direct Deposit,Yes
42,54,6,No,$54.45 ,40,Salary,110319.87,55.0,Information Technology,Male,Married,0.0,0.0,Mailed Check,No
173,55,9,Yes,$43.28 ,40,Salary,92362.68,32.0,Healthcare,Male,Single,6.0,9.0,Mail_Check,No
110,51,0,No,$37.24 ,40,Hourly,76936.47,51.0,Information_Technology,Female,Married,4.0,1.0,DirectDeposit,Yes
177,52,17,No,$44.81 ,40,Hourly,95333.36,32.0,Marketing,Male,Married,4.0,9.0,Direct Deposit,No
218,22,1,No,$40.42 ,40,Salary,84967.83,48.0,Information_Technology,Male,Divorced,4.0,4.0,Mail_Check,Yes
122,50,14,Yes,$34.95 ,40,Salary,72833.5,35.0,Research,Male,Divorced,6.0,35.0,Direct Deposit,No
52,27,0,Yes,$59.47 ,30,Salary,92205.63,5.0,InformationTechnology,Male,Single,5.0,24.0,Direct_Deposit,Yes
57,44,3,No,$57.23 ,40,Hourly,124157.09,31.0,HumanResources,Male,Single,6.0,37.0,Mail_Check,Yes
244,49,3,No,$33.62 ,40,Salary,73135.98,18.0,Human_Resources,Male,Single,4.0,17.0,Direct Deposit,No
159,42,17,No,$14.57 ,40,Hourly,30000.11,5.0,InformationTechnology,Female,Married,7.0,26.0,Mailed Check,Yes
86,51,2,No,$30.19 ,40,Hourly,65550.69,10.0,Sales,Female,Married,1.0,26.0,Mail_Check,No
121,39,19,No,$39.17 ,40,Salary,79094.56,38.0,Information_Technology,Female,Married,7.0,12.0,Mailed Check,No
292,30,18,No,$62.61 ,40,Hourly,127724.05,55.0,Sales,Male,Divorced,3.0,6.0,Direct Deposit,Yes
294,33,20,No,$17.24 ,40,Hourly,36536.59,12.0,Research,Male,Single,7.0,32.0,Mail_Check,No
185,41,9,Yes,$64.19 ,40,Hourly,128412.84,59.0,HumanResources,Male,Married,1.0,39.0,Mailed Check,Yes
277,40,19,No,$32.92 ,40,Salary,69930.37,41.0,Information Technology,Female,Married,2.0,6.0,Mailed Check,No
209,30,5,No,$38.89 ,40,Hourly,83928.98,31.0,HumanResources,Male,Divorced,5.0,2.0,Direct Deposit,No
88,32,17,No,$62.84 ,20,Salary,65726.13,56.0,Research,Female,Single,4.0,4.0,Direct_Deposit,No
166,57,20,No,$12.49 ,40,Salary,26891.06,25.0,Sales,Female,Divorced,0.0,35.0,Direct Deposit,No
74,24,7,No,$49.15 ,40,Salary,-5000.0,1.0,Information Technology,Male,Divorced,4.0,13.0,Mail_Check,Yes
259,26,16,No,$32.09 ,40,Hourly,69436.4,20.0,InformationTechnology,Male,Married,2.0,2.0,Mailed Check,No
106,55,10,No,$41.76 ,40,Hourly,84916.92,30.0,Marketing,Female,Married,5.0,18.0,Direct_Deposit,Yes
241,24,14,No,$12.66 ,40,Salary,25663.16,52.0,Laboratory,Male,Single,2.0,12.0,Direct_Deposit,Yes
183,41,5,No,$36.09 ,40,Salary,76939.02,310.0,Manufacturing,Male,Divorced,1.0,33.0,Direct Deposit,No
50,55,3,Yes,$13.57 ,40,Hourly,27584.33,44.0,InformationTechnology,Male,Divorced,7.0,21.0,Mail_Check,Yes
224,27,17,No,$47.17 ,30,Salary,74052.64,11.0,Information Technology,Male,Single,3.0,15.0,DirectDeposit,No
6,59,2,No,$53.45 ,40,Salary,111240.06,8.0,Manufacturing,Female,Married,6.0,25.0,MailedCheck,No
18,24,15,No,$30.36 ,30,Salary,49521.51,25.0,Healthcare,Male,Single,2.0,18.0,Mail_Check,No
245,48,17,Yes,$16.99 ,40,Salary,36081.38,55.0,Information_Technology,Female,Divorced,6.0,11.0,Direct Deposit,Yes
117,19,20,Yes,$41.80 ,40,Salary,82634.24,21.0,Information Technology,Female,Single,0.0,31.0,Mailed Check,Yes
239,32,11,Yes,$34.22 ,20,Hourly,35700.17,57.0,Healthcare,Male,Married,7.0,15.0,Mail Check,No
107,55,9,Yes,$53.97 ,40,Salary,117472.18,10.0,Information Technology,Female,Single,2.0,28.0,Mail Check,Yes
188,36,11,Yes,$28.88 ,40,Salary,60102.1,2.0,Marketing,Male,Single,7.0,34.0,DirectDeposit,Yes
163,37,15,No,$14.51 ,30,Hourly,23275.97,34.0,Human Resources,Male,Single,7.0,23.0,Direct_Deposit,No
135,56,9,Yes,$15.21 ,40,Hourly,33164.82,20.0,Human_Resources,Female,Single,3.0,15.0,Mail Check,Yes
246,22,1,No,$59.15 ,40,Salary,124699.83,275.0,Information Technology,Male,Single,2.0,15.0,Mail Check,Yes
191,50,19,No,$23.47 ,30,Hourly,480000.0,7.0,Laboratory,Male,Single,5.0,33.0,Mail Check,No
65,37,2,No,$30.12 ,40,Salary,64475.53,31.0,InformationTechnology,Female,Divorced,7.0,14.0,Mail_Check,Yes
27,37,4,No,$54.07 ,30,Salary,83148.76,46.0,HumanResources,Male,Single,1.0,9.0,Direct_Deposit,No
215,53,20,No,$18.73 ,40,Salary,38184.38,23.0,Information Technology,Male,Single,5.0,16.0,Direct Deposit,No
170,19,19,No,$44.87 ,40,Salary,96758.75,20.0,Information_Technology,Female,Married,,20.0,Mail_Check,No
181,63,6,No,$25.48 ,30,Salary,40721.74,4.0,Healthcare,Female,Single,7.0,28.0,Mailed Check,Yes
101,57,20,No,$24.79 ,20,Salary,26847.12,10.0,Information Technology,Male,Divorced,2.0,17.0,DirectDeposit,Yes
198,23,7,No,$20.77 ,40,Hourly,44477.05,4.0,Information_Technology,Male,Single,6.0,26.0,Direct Deposit,No
136,32,2,Yes,$49.00 ,40,Hourly,101021.51,13.0,Research,Male,Divorced,4.0,34.0,Direct Deposit,No
290,40,17,Yes,$48.28 ,40,Salary,96182.01,49.0,Healthcare,Male,Married,4.0,34.0,Mail_Check,No
266,45,4,No,$59.91 ,40,Hourly,119270.71,46.0,Laboratory,Male,Single,5.0,,Mailed Check,Yes
199,34,19,No,$50.43 ,40,Salary,109726.11,1.0,Manufacturing,Male,Single,5.0,6.0,Direct_Deposit,No
118,24,2,No,$17.40 ,40,Salary,36449.57,15.0,Information_Technology,Male,Married,2.0,26.0,Direct Deposit,No
167,33,3,No,$21.98 ,40,Salary,47311.14,41.0,Healthcare,Male,Single,1.0,21.0,Mail_Check,No
226,32,6,No,$12.96 ,40,Salary,25757.79,54.0,HumanResources,Female,Married,0.0,15.0,Direct Deposit,Yes
137,46,11,Yes,$22.97 ,40,Salary,47315.85,23.0,Laboratory,Female,Divorced,7.0,22.0,Mail Check,No
30,39,11,Yes,$54.51 ,40,Salary,110811.93,49.0,Laboratory,Male,Married,3.0,24.0,DirectDeposit,Yes
80,50,5,No,$31.37 ,30,Salary,50762.13,44.0,Information_Technology,Female,Single,6.0,16.0,Direct Deposit,Yes
205,39,5,No,$18.68 ,30,Salary,29064.84,2.0,Research,Male,Divorced,6.0,9.0,Direct Deposit,Yes
141,65,20,No,$12.09 ,20,Salary,12893.69,14.0,Information Technology,Male,Divorced,5.0,14.0,Mail_Check,No
158,44,13,No,$61.31 ,30,Salary,98959.29,33.0,HumanResources,Male,Married,2.0,11.0,Mail_Check,Yes
132,44,15,No,$14.70 ,40,Salary,31682.28,51.0,HumanResources,Male,Single,5.0,19.0,DirectDeposit,Yes
40,48,20,No,$57.87 ,30,Salary,89809.93,37.0,HumanResources,Male,Divorced,7.0,39.0,Mailed Check,Yes
255,49,20,Yes,$23.24 ,40,Salary,47612.0,29.0,InformationTechnology,Female,Single,0.0,31.0,Mail_Check,No
